"","Player","Team","Season","Position","Minutes","Passes","Pass %","xPass %","Score","Per100","Distance","Vertical","Touch %","Games"
"","Jannes Horn","STL","2024","FB","645","283","81.3%","79.2%","5.96","2.11","22.28","-1.18","5.9%","9"
"","David Martínez","MIA","2024","CB","314","205","85.9%","83.0%","5.96","2.91","25.57","9.34","8.7%","4"
"","Calvin Harris","COL","2024","W","1688","442","76.0%","74.7%","5.82","1.32","14.56","-2.31","3.6%","32"
"","Josef Martínez","MTL","2024","ST","1528","313","84.4%","82.5%","5.77","1.84","14.31","-0.43","2.8%","23"
"","Mason Stajduhar","ORL","2024","GK","437","97","81.4%","75.6%","5.64","5.81","32.38","26.15","3.6%","5"
"","Peter Stroud","NYRB","2024","CM","946","368","84.2%","82.7%","5.61","1.52","16.45","1.98","6.3%","14"
"","Garrison Tubbs","DCU","2024","CB","655","250","87.6%","85.4%","5.58","2.23","19.75","3.18","3.8%","15"
"","Alhassan Yusuf","NER","2024","DM","486","298","86.9%","85.1%","5.41","1.81","19.26","3.79","8.7%","7"
"","Justin Haak","NYC","2024","CB","938","388","84.0%","82.6%","5.36","1.38","19.90","5.26","5.3%","15"
"","Daniel Aguirre","LAG","2024","CM","165","98","89.8%","84.3%","5.34","5.45","13.77","3.16","1.6%","10"
